Product_name,Product_price,Product_URL,Brand,Location,Product_Rating
Samsung Galaxy M02 Ram 2-32 Gb Garansi Resmi,Rp1.297.500,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4cemadg-jual-samsung-galaxy-m02-ram-2-32-gb-garansi-resmi,Samsung,Jakarta Utara,5
Samsung A03 Core internal 32Gb Ram 2Gb Garansi resmi SEIN,Rp1.199.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gwi8mp-jual-samsung-a03-core-internal-32gb-ram-2gb-garansi-resmi-sein,Samsung,Bandung,4.9
Samsung Galaxy M32 Ram 6 128gb Garansi Resmi,Rp2.784.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gsetc1-jual-samsung-galaxy-m32-ram-6-128gb-garansi-resmi,Samsung,Kab. Bogor,5
ETALASE HP ALMARI ETALASE ETALASE KONTER ETALASE XIOME ETALASE SAMSUNG ETALASE OPPO ALMARI ETALASE.SET ETALASE HP,Rp18.000.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/3s44g92-jual-etalase-hp-almari-etalase-etalase-konter-etalase-xiome-etalase-samsung-etalase-oppo-almari-etalase-set-etalase-hp,Samsung,Jepara,None
SAMSUNG GALAXY A52S 5G RAM 8GB ROM 256GB GARANSI RESMI,Rp5.599.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gj10ta-jual-samsung-galaxy-a52s-5g-ram-8gb-rom-256gb-garansi-resmi,Samsung,Jakarta Utara,4.9
Samsung A03 Ram 3-32 GB Garansi Resmi,Rp1.529.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h3cdam-jual-samsung-a03-ram-3-32-gb-garansi-resmi,Samsung,Jakarta Barat,None
Samsung M12 Ram 4-64 Gb Garansi Resmi,Rp1.899.000,https://www.bukalapak.com/p/handphone/hp-smartphone/4g3rjf4-jual-samsung-m12-ram-4-64-gb-garansi-resmi,Samsung,Jakarta Barat,5
Samsung A03 Ram 3-32 GB Resmi,Rp1.538.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h36xd1-jual-samsung-a03-ram-3-32-gb-resmi,Samsung,Jakarta Barat,None
Full Coverage Screen Protector Samsung S22 S22 Plus S22 Ultra,Rp69.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/screen-guard/4h3o4kg-jual-full-coverage-screen-protector-samsung-s22-s22-plus-s22-ultra,Samsung,Jakarta Pusat,5
Charger Samsung 45 Watt ORIGINAL Super Fast Charging C to C,Rp88.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/charger-177/3xnnasj-jual-charger-samsung-45-watt-original-super-fast-charging-c-to-c,Samsung,Jakarta Pusat,4.8
Original Smooth Leather Case Samsung S21 FE 5G Case,Rp195.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/casing-cover/4h3gvw1-jual-original-smooth-leather-case-samsung-s21-fe-5g-case,Samsung,Jakarta Pusat,5
Slide cover camera protection Case Samsung S21 FE 5G Slim Protective Case,Rp195.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/casing-cover/4h3gtov-jual-slide-cover-camera-protection-case-samsung-s21-fe-5g-slim-protective-case,Samsung,Jakarta Pusat,5
Full Cover Frosted Matte Hydrogel Samsung S22 S22 Plus S22 Ultra,Rp69.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/screen-guard/4h3o551-jual-full-cover-frosted-matte-hydrogel-samsung-s22-s22-plus-s22-ultra,Samsung,Jakarta Pusat,5
samsung galaxy 21s,Rp2.500.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/3sxccad-jual-samsung-galaxy-21s,Samsung,Medan,5
SAMSUNG GALAXY A127-A12 NEW RAM 6-128GB GARANSI RESMI,Rp2.345.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gh520v-jual-samsung-galaxy-a127-a12-new-ram-6-128gb-garansi-resmi,Samsung,Kediri,5
samsung a12 ram 4 per 128 new grs resmi sein,Rp2.080.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4acfta6-jual-samsung-a12-ram-4-per-128-new-grs-resmi-sein,Samsung,Jakarta Pusat,5
Samsung Galaxy M12 - 4GB 64GB - Garansi Resmi,Rp1.899.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4fk2pv7-jual-samsung-galaxy-m12-4gb-64gb-garansi-resmi,Samsung,Jakarta Timur,None
TOMBOL LUAR - TOMBOL POWER ON OFF VOLUME SAMSUNG I8262,Rp5.500,https://www.bukalapak.com/p/handphone/spare-part-tools-handphone/4cxv9w4-jual-tombol-luar-tombol-power-on-off-volume-samsung-i8262,Samsung,Jakarta Barat,5
Samsung Galaxy M02 - 2GB 32GB - Garansi Resmi,Rp1.325.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4c5gtfg-jual-samsung-galaxy-m02-2gb-32gb-garansi-resmi,Samsung,Jakarta Timur,4.5
Samsung GALAXY A10 RAM 2GB ROM 32GB GARANSI RESMI,Rp1.275.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/1u0qm9x-jual-samsung-galaxy-a10-ram-2gb-rom-32gb-garansi-resmi,Samsung,Jakarta Barat,4.4
Samsung A12 Ram 4-128 GB Resmi,Rp2.179.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/471zezu-jual-samsung-a12-ram-4-128-gb-resmi,Samsung,Jakarta Barat,5
Samsung Galaxy A32 5G 8GB 128GB - Garansi Resmi,Rp3.755.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gb73jj-jual-samsung-galaxy-a32-5g-8gb-128gb-garansi-resmi,Samsung,Jakarta Timur,5
SAMSUNG GALAXY A03 RAM 3GB ROM 32GB GARANSI RESMI,Rp1.530.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h0eanp-jual-samsung-galaxy-a03-ram-3gb-rom-32gb-garansi-resmi,Samsung,Jakarta Utara,5
LCD TOUCHSCREEN FOR SAMSUNG A30S - A307 - A307F LCD TS FULLSET,Rp574.000,https://www.bukalapak.com/p/handphone/spare-part-tools-handphone/49mz8dz-jual-lcd-touchscreen-for-samsung-a30s-a307-a307f-lcd-ts-fullset,Samsung,Jakarta Barat,3
TOMBOL LUAR - TOMBOL POWER ON OFF VOLUME SAMSUNG G530 G532 J2 PRIME,Rp5.500,https://www.bukalapak.com/p/handphone/spare-part-tools-handphone/4cxv6my-jual-tombol-luar-tombol-power-on-off-volume-samsung-g530-g532-j2-prime,Samsung,Jakarta Barat,4.9
TOMBOL LUAR - TOMBOL POWER ON OFF VOLUME SAMSUNG J1 ACE - J110 J111,Rp5.500,https://www.bukalapak.com/p/handphone/spare-part-tools-handphone/4ef27c1-jual-tombol-luar-tombol-power-on-off-volume-samsung-j1-ace-j110-j111,Samsung,Jakarta Barat,4.6
Baterai batre Samsung J7 Prime J4 J6 ORIGINAL SEIN 100,Rp98.754,https://www.bukalapak.com/p/handphone/aksesoris-handphone/baterai-176/4h235na-jual-baterai-batre-samsung-j7-prime-j4-j6-original-sein-100,Samsung,Jakarta Utara,None
Samsung Galaxy A12 Ram 4 128Gb Garansi Resmi SEIN,Rp2.169.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/46paniu-jual-samsung-galaxy-a12-ram-4-128gb-garansi-resmi-sein,Samsung,Jakarta Timur,4.9
Samsung Galaxy S10 Prism White second Fullset no kendala,Rp3.896.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/2bb1ni4-jual-samsung-galaxy-s10-prism-white-second-fullset-no-kendala,Samsung,Jakarta Utara,5
SAMSUNG GALAXY A03 RAM 4GB ROM 64GB & 3GB 32GB & A 03 CORE RAM 2GB ROM 32GB GARANSI RESMI SEIN,Rp1.599.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h0dvmj-jual-samsung-galaxy-a03-ram-4gb-rom-64gb-3gb-32gb-a-03-core-ram-2gb-rom-32gb-garansi-resmi-sein,Samsung,Bekasi,5
Batu Batre Battery Baterai Samsung Galaxy Note 8 N950F N9500 Original Cell Made in Korea,Rp175.000,https://www.bukalapak.com/p/handphone/spare-part-tools-handphone/3q7git3-jual-batu-batre-battery-baterai-samsung-galaxy-note-8-n950f-n9500-original-cell-made-in-korea,Samsung,Depok,5
LCD TOUCHSCREEN SAMSUNG GALAXY A50 - A505 OLED BLACK,Rp630.000,https://www.bukalapak.com/p/handphone/spare-part-tools-handphone/3gk0djd-jual-lcd-touchscreen-samsung-galaxy-a50-a505-oled-black,Samsung,Bekasi,4.9
LCD TOUCHSCREEN SAMSUNG A750 A7 2018 SUPER THIN HIGH COPY AMOLED TESTED 100 PERSEN,Rp455.000,https://www.bukalapak.com/p/handphone/spare-part-tools-handphone/43ruohn-jual-lcd-touchscreen-samsung-a750-a7-2018-super-thin-high-copy-amoled-tested-100-persen,Samsung,Cirebon,4.7
SAMSUNG GALAXY A22 5G RAM 6GB ROM 128GB GARANSI RESMI,Rp3.070.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4g91z8a-jual-samsung-galaxy-a22-5g-ram-6gb-rom-128gb-garansi-resmi,Samsung,Jakarta Utara,5
Samsung Galaxy J4+ 2018,Rp850.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h35h2y-jual-samsung-galaxy-j4-2018,Samsung,Jakarta Timur,None
Samsung M12 Ram 4-64 Gb Garansi Resmi,Rp1.899.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4fyyn4y-jual-samsung-m12-ram-4-64-gb-garansi-resmi,Samsung,Jakarta Barat,5
SAMSUNG GALAXY A32 5G RAM 8GB ROM 128GB GARANSI RESMI,Rp3.750.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gjdpfj-jual-samsung-galaxy-a32-5g-ram-8gb-rom-128gb-garansi-resmi,Samsung,Jakarta Utara,4.9
SAMSUNG GALAXI A12 RAM 6-128GB RESMI SAMSUNG SEIN,Rp2.359.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/46wbdri-jual-samsung-galaxi-a12-ram-6-128gb-resmi-samsung-sein,Samsung,Jakarta Timur,5
Samsung Galaxy S9 G960F 64GB Dual Resmi SEIN Original Fullset Paling Murah Bos,Rp1.425.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/3n8mumk-jual-samsung-galaxy-s9-g960f-64gb-dual-resmi-sein-original-fullset-paling-murah-bos,Samsung,Depok,4.6
Samsung galaxy A12 4GB,Rp2.500.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gumwd1-jual-samsung-galaxy-a12-4gb,Samsung,Kab. Tangerang,5
Samsung Galaxy A02s - 3GB 32G - Garansi Resmi,Rp1.725.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/49gqhdq-jual-samsung-galaxy-a02s-3gb-32g-garansi-resmi,Samsung,Jakarta Timur,5
Samsung A01 Core RAM 2-32 GARANSI RESMI,Rp1.251.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/3zlowrw-jual-samsung-a01-core-ram-2-32-garansi-resmi,Samsung,Semarang,5
SAMSUNG TAB A8 LTE 10.5 INCH X200 - X205 BOOK COVER FLIP STAND WIRELESS KEYBOARD WITH TOUCH TRACK PAD,Rp405.000,https://www.bukalapak.com/p/handphone/tablet/case-tablet/4h07o9g-jual-samsung-tab-a8-lte-10-5-inch-x200-x205-book-cover-flip-stand-wireless-keyboard-with-touch-track-pad,Samsung,Karawang,None
Lcd+Touchscreen Samsung Grand 2 G7102,Rp210.000,https://www.bukalapak.com/p/handphone/spare-part-tools-handphone/56litz-jual-lcd-touchscreen-samsung-grand-2-g7102,Samsung,Jakarta Pusat,3
Samsung Z Flip 256GB RESMI,Rp6.600.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gxmq0j-jual-samsung-z-flip-256gb-resmi,Samsung,Bekasi,None
Samsung galaxy note 10 plus second fullset mulus,Rp5.596.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/39l5tn0-jual-samsung-galaxy-note-10-plus-second-fullset-mulus,Samsung,Jakarta Utara,4.5
Samsung Galaxy M02 Ram 2GB Internal 32GB Garansi Resmi,Rp1.359.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h18dd4-jual-samsung-galaxy-m02-ram-2gb-internal-32gb-garansi-resmi,Samsung,Jakarta Selatan,None
SAMSUNG Galaxy A03s - RAM 4GB & ROM 64GB - Garansi RESMI,Rp1.999.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gf37xs-jual-samsung-galaxy-a03s-ram-4gb-rom-64gb-garansi-resmi,Samsung,Jakarta Barat,5
SAMSUNG A72 8/128 GARANSI RESMI SEIN,Rp5.799.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gjwhsp-jual-samsung-a72-8-128-garansi-resmi-sein,Samsung,Jakarta Timur,5
Samsung A22 6-128 Gb New Garansi Resmi Sein 5G Harga Grosir,Rp3.500.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4ghtm91-jual-samsung-a22-6-128-gb-new-garansi-resmi-sein-5g-harga-grosir,Samsung,Bekasi,5
Samsung Galaxy A12 Ram 4-128Gb Resmi Samsung SEIN,Rp2.129.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/47o3kf8-jual-samsung-galaxy-a12-ram-4-128gb-resmi-samsung-sein,Samsung,Jakarta Timur,4.9
SAMSUNG GALAXY A22 4G LTE SUPER AMOLED RAM 6 128GB GARANSI RESMI SEIN,Rp2.819.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4g6vzq1-jual-samsung-galaxy-a22-4g-lte-super-amoled-ram-6-128gb-garansi-resmi-sein,Samsung,Jakarta Timur,4.9
SAMSUNG GALAXY A03 RAM 4-64GB GARANSI RESMI - SAMSUNG A03,Rp1.765.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h1npr7-jual-samsung-galaxy-a03-ram-4-64gb-garansi-resmi-samsung-a03,Samsung,Jakarta Timur,4.7
Samsung Galaxy A03 4 64 Ram 4GB Rom 64GB GARANSI RESMI SAMSUNG,Rp1.740.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h1va0j-jual-samsung-galaxy-a03-4-64-ram-4gb-rom-64gb-garansi-resmi-samsung,Samsung,Jakarta Utara,5
Samsung M12 Ram 4-64 GB Resmi,Rp1.895.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h0hnwd-jual-samsung-m12-ram-4-64-gb-resmi,Samsung,Jakarta Barat,5
SAMSUNG GALAXY A12 RAM 6GB ROM 128GB GARANSI RESMI,Rp2.335.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/45llzjv-jual-samsung-galaxy-a12-ram-6gb-rom-128gb-garansi-resmi,Samsung,Jakarta Utara,4.9
Samsung galaxy S20 FE ROM 128 RAM 8 GB,Rp7.500.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4go377g-jual-samsung-galaxy-s20-fe-rom-128-ram-8-gb,Samsung,Tangerang Selatan,5
Samsung Galaxy A52 8GB,Rp5.000.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gqqb9m-jual-samsung-galaxy-a52-8gb,Samsung,Tangerang Selatan,5
samsung galaxy J7 pro ram 3gb internal 32gb resmi original,Rp1.000.000,https://www.bukalapak.com/p/handphone/hp-smartphone/3aeehmc-jual-samsung-galaxy-j7-pro-ram-3gb-internal-32gb-resmi-original,Samsung,Bekasi,5
Samsung A03 Core Ram 2-32 Gb Garansi Resmi,Rp1.249.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gx9vqy-jual-samsung-a03-core-ram-2-32-gb-garansi-resmi,Samsung,Jakarta Barat,5
SAMSUNG GALAXY M12 RAM 3GB ROM 32GB GARANSI RESMI,Rp1.590.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4fvmyn7-jual-samsung-galaxy-m12-ram-3gb-rom-32gb-garansi-resmi,Samsung,Jakarta Utara,5
samsung A50,Rp1.500.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gunf87-jual-samsung-a50,Samsung,Jakarta Pusat,5
